category,name,price,quantity
Food,"Peanut Butter Chocolate Clusters",2.99,21
Food,"Vegetable Curry",5.99,79
Food,"Sliced Bell Peppers",3.99,75
Food,"Honey Garlic Sauce",2.59,34
Food,"Coconut Milk Yogurt",2.99,78
Food,"Falafel Mix",2.79,27
Clothing,"Trainers with Mesh Inserts",69.99,39
Accessories,"Heavy-Duty Utility Tote",34.99,13
Kitchen,"Stainless Steel Water Pitcher",39.99,9
Food,"Maple Pecan Pancake Mix",4.99,54
Footwear,"Durable Hiking Boots",89.99,26
Food,"Whole Grain Mustard",3.49,43
Food,"Blackberry Compote",5.29,41
Food,"Basmati Rice",5.79,92
Office,"Portable Laptop Table",39.99,19
Clothing,"Vintage Graphic Tee",25.99,2
Clothing,"Chino Shorts",34.99,20
Fitness,"Fitbit Activity Tracker",99.99,16
Food,"Savory Mushroom Risotto",6.49,13
Food,"Sriracha Sauce",3.19,12
Food,"Pasta Primavera Kit",7.49,71
Clothing,"Casual Long Cardigan",45.99,5
Food,"Pineapple Coconut Bars",3.79,28
Garden,"Self-Watering Planters",49.99,89
Food,"BBQ Lentil Chips",3.49,45
Food,"Turkey Bacon",3.99,85
Food,"Caramelized Onion Dip",3.99,59
Food,"Italian Marinara Sauce",3.29,3
Accessories,"Portable Phone Charger",29.99,17
Home,"Freestanding Wine Rack",79.99,46
Food,"Mediterranean Chickpea Salad",5.99,83
Food,"French Onion Dip",2.99,3
Pets,"Adjustable Dog Harness",24.99,22
Food,"Organic Granola Cereal",5.99,89
Food,"Peach Salsa",3.29,86
Fitness,"Fitness Jump Rope with LCD Counter",15.99,43
Food,"Thai Basil Fried Rice",5.99,9
Food,"Spinach and Cheese Stuffed Shells",5.99,97
Food,Salsa,3.49,95
Food,"Peach Salsa",3.29,57
Clothing,"Mesh Sports Leggings",39.99,44
Food,"Cheesy Broccoli Soup Mix",2.99,47
Automotive,"Car Diagnostic Scanner",49.99,43
Health,"Portable UV Sterilizer",19.99,20
Home,"LED Desk Lamp",35,92
Kitchen,"Salt and Pepper Grinder Set",19.99,88
Food,"Savory Mushroom Risotto",6.49,9
Clothing,"Canvas High-Top Sneakers",49.99,33
Food,"Carrot and Celery Sticks",2.99,61
Food,"Cold Brew Coffee Concentrate",7.99,15
Food,"Beef Stroganoff Meal Kit",12.99,96
Home,"Digital Alarm Clock",19.99,83
Food,"Sour Cream",3.49,85
Outdoor,"Outdoor Mosquito Repellent Lantern",34.99,9
Kitchen,"Eco-Friendly Disposable Plates",22.99,51
Food,"Butternut Squash Soup",3.49,13
Food,"Sriracha Sauce",3.19,24
Kitchen,"Measuring Cups Set",19.99,49
Clothing,"Summer Tank Dress",39.99,36
Kitchen,"Bamboo Utensil Holder",14.99,64
Food,"Sliced Bell Peppers",3.99,77
Safety,"Safety Goggles",14.99,41
Outdoor,"Inflatable Party Cooler",19.99,93
Food,"Chewy Granola Bars",3.49,47
Kitchen,"Heat-Resistant Silicone Mat",19.99,22
Home,"3D Night Light",19.99,46
Food,"Organic Green Lentils",3.99,7
Accessories,"Rechargeable Hand Warmer",22.99,75
Kitchen,"Electric Fondue Pot",39.99,65
Food,"Organic Quinoa Chips",3.99,90
Food,"Frozen Vegetarian Pizza",6.49,10
Health,"Electric Heating Pad",20.99,14
Electronics,"Wireless Mouse",25.99,5
Clothing,"Classic Black Trousers",54.99,49
Food,"Herb Seasoned Croutons",2.99,82
Food,"Sweet Pea Hummus",4.29,24
Food,"Peanut Butter Chocolate Chip Bars",4.59,41
Food,"Spicy Thai Coconut Soup",3.99,95
Food,"Herbal Tea Set",19.99,39
Food,"Garlic & Herb Goat Cheese",5.49,3
Pets,"Portable Pet Pooper Scooper",12.99,52
Food,"Apple Cinnamon Breakfast Muffins",3.49,95
Health,"Smartphone UV Sanitizer",39.99,74
Food,"Organic Quinoa Chips",3.99,47
Food,"Kale Chips",3.99,86
Food,"Cinnamon Sugar Donuts",4.99,37
Clothing,"Classic Leather Wallet",34.99,31
Clothing,"Athletic Jogging Jacket",49.99,100
Food,"Sliced Cheese",4.49,94
Food,"Low-Fat Yogurt",3.29,80
Food,"Sweet Potato Noodles",3.79,97
Food,"Spicy Garlic Edamame",3.99,77
Food,"Ramen Noodles",0.99,15
Food,"Vegetable Chips",3.99,18
Food,"Herbal Tea Set",19.99,39
Food,"Honey Glazed Carrots",3.49,93
Food,"Herb Seasoned Rice",2.99,3
Food,"Organic Cereal Bars",4.29,50
Food,"Thai Green Curry Paste",2.49,16
Home,"Air Purifier",129.99,84
Clothing,"Canvas Tote Bag",19.99,65
Pets,"Pet Safety Belt for Car",14.99,7
Garden,"Gardening Gloves",15.99,28
Food,"Crispy Onion Rings",4.29,100
Food,"Chocolate Mint Cookies",2.29,37
Food,"Organic Green Apples",1.49,63
Kitchen,"Coffee Making Kit",44.99,18
Health,"Plant-Based Protein Bars",19.99,37
Food,"Organic Tomato Soup",3.79,66
Food,"Vanilla Pudding Mix",1.29,18
Food,"Herbed Chicken Breast",7.99,61
Food,"Savory Oats",2.49,1
Food,"Spaghetti Squash",3.99,49
Food,"Chocolate Mint Thins",2.99,50
Accessories,"Personalized Keychain",10.99,100
Clothing,"Faux Fur Coat",129.99,78
Food,"Whole Grain Cereal",3.49,91
Food,"Almond Flour Bread Mix",4.89,16
Food,"Sweet and Spicy Barbecue Sauce",3.99,23
Food,"Apricot Jam",4.29,24
Toys,"Non-Toxic Crayons for Kids",10.99,3
Footwear,"Durable Hiking Boots",89.99,8
Food,"Chocolate Chip Pancake Mix",3.99,80
Food,"Pumpkin Ice Cream",4.99,10
Accessories,Backpack,49.99,5
Garden,"Garden Tool Set",34.99,80
Clothing,"Wrap Jumpsuit",54.99,64
Home,"Handcrafted Wooden Coasters",19.99,52
Photography,"Smartphone Photography Ring Light",29.99,68
Food,"Sweet Potato Mash",3.99,42
Home,"Soft Plush Throw Blanket",29.99,92
Outdoor,"Camping Chair with Cooler",49.99,38
Food,"Hibiscus Tea Bags",3.79,87
Clothing,"Luxury Bathrobe",49.99,15
Home,"Microfiber Cleaning Cloths",9.99,29
Health,"Vegan Protein Powder",34.99,65
Food,"Organic Quinoa Chips",3.99,95
Clothing,"Essential White Button-Up",44.99,58
Pets,"Pet Training Pads",24.99,61
Office,"LED Desk Lamp with USB Charging",39.99,96
Food,"Fried Rice",4.29,31
Food,"Baking Soda",0.99,56
Crafts,"DIY Candle Making Kit",22.99,76
Food,"Zesty Garlic Hummus",3.99,41
Toys,"Puzzle Game Set",34.99,49
Accessories,"Portable Phone Charger",29.99,68
Food,"Zesty Cilantro Lime Dressing",3.29,15
Food,"Vegetable Fried Rice",4.99,70
Garden,"Heavy Duty Gardening Tool Set",49.99,11
Food,"Carrot and Celery Sticks",2.99,69
Food,"Dark Chocolate Covered Almonds",7.19,53
Audio,"Home Karaoke System",129.99,68
"Home Appliances","Stick Vacuums Cleaner",129.99,25
Garden,"Gardening Gloves with Claws",24.99,82
Garden,"Gardening Gloves with Claws",24.99,72
Food,"Savory Italian Herbs",2.99,93
Kitchen,"Electric Griddle with Removable Plates",59.99,43
Sports,Basketball,29.99,36
Food,"Lemonade Mix",1.99,42
Food,"Garam Masala Spice Blend",2.79,40
Fitness,"Fitness Activity Journal",14.99,19
Pets,"Portable Pet Stroller",89.99,22
Food,"Sweet and Sour Sauce",2.79,78
Food,"Lentil Vegetable Stew",4.49,3
Food,"Vanilla Protein Powder",24.99,34
Home,"Collapsible Storage Crates",18.99,8
Food,"Almond Joy Munch Bars",1.39,52
Food,"Rice Noodles",3.49,22
Pets,"Dog Collar",15.99,11
"Smart Home","Smart Thermostat with Wi-Fi",169.99,52
Pets,"Adjustable Pet Feeder",39.99,63
Food,"Organic Coconut Oil",8.99,27
Food,"Italian Meatballs",8.49,58
Electronics,"Screen Cleaning Kit",15.99,21
Storage,"Portable SSD",129.99,7
Food,"Organic Blueberries",5.49,6
Toys,"Children's Musical Instrument Set",39.99,35
Food,"Pork Chops",9.49,6
"Art Supplies","Sculpting Kit",25.99,53
Food,"Spicy Beef Taco Mix",1.99,25
Electronics,"Portable Solar Phone Charger",29.99,1
Food,"Dried Fruit Medley",5.49,19
Kitchen,"Electric Rice Cooker",39.99,50
Food,"Homemade Salsa",3.79,64
Electronics,"Digital Voice Recorder",49.99,19
Outdoor,"Electric Air Pump",29.99,70
Food,"Wild Rice Pilaf",3.79,69
Food,"Sushi Rice",3.99,23
Kitchen,"Set of Silicone Baking Molds",15.99,32
Clothing,"Ethical Wool Scarf",29.99,14
Kitchen,"Electric Pressure Cooker",89.99,83
Kitchen,"Coffee Grinder",39.99,28
Food,"Caramel Apple Taffy",1.99,16
Pets,"Adjustable Pet Feeder",39.99,73
Outdoor,"Foldable Picnic Table",49.99,80
Tools,"Cordless Electric Screwdriver",39.99,89
Pets,"Biodegradable Dog Waste Bags",14.99,15
Sports,"Ski Goggles",49.99,32
Food,"Garlic Naan Bread",3.99,100
Food,"Spinach Pizza Rolls",4.99,28
Food,"Dark Chocolate Tart",6.29,97
Garden,"Plant Pot Drip Trays",9.99,38
Fitness,"Fitness Resistance Bands",29.99,10
Clothing,"Stylish Wide-Leg Trousers",59.99,77
Food,"Miso Dressing",3.49,45
Food,"Cinnamon Roll Protein Bar",2.99,91
Food,"Cranberry Juice",3.69,40
Automotive,"Car Emergency Kit",49.99,84
Food,"Maple Cinnamon Granola",4.29,40
Home,"Multicolored LED Strip Lights",29.99,39
Clothing,"Ankle Boots",89.99,73
Office,"Wall Planner",19.99,77
Food,"Craft Beer Mustard",3.99,38
Garden,"Mini Indoor Hydroponic Garden",59.99,70
Garden,"Garden Hoses with Expandable Features",34.99,35
Home,"Bamboo Memory Foam Pillow",34.99,63
Food,"Blueberry Oatmeal Cups",3.29,22
Food,"Homestyle Chicken Noodle Soup",2.99,2
Furniture,"Adjustable Bar Stools",149.99,71
Food,"Herb Seasoned Rice",2.99,40
Electronics,"Digital Voice Recorder",49.99,57
Accessories,"Insulated Wine Tote",24.99,17
Electronics,"Action Camera",199.99,33
Food,"Truffle Parmesan Fries",4.99,35
Food,"Sliced Turkey Breast",5.49,93
Pets,"Portable Pet Bathing Tool",29.99,43
Pets,"Dog Frisbee Toy",10.99,88
Food,"Vegan Taco Seasoning",2.49,52
Food,"Lasagna Noodles",1.89,94
Crafts,"Handmade Soap Making Kit",34.99,33
Food,"Chocolate Chip Pancake Mix",3.99,88
Clothing,"Wrap Front Midi Skirt",44.99,78
Food,"Vegetable Sushi Rolls",5.99,42
Food,"Teriyaki Salmon Fillets",9.99,89
Food,"Cinnamon Raisin Bagels",4.19,14
Accessories,"Laptop Backpack",69.99,30
Accessories,"Interchangeable Watch Bands",24.99,29
Beauty,"Luxury Rolling Makeup Case",99.99,95
Food,"Cinnamon Sugar Donuts",4.99,9
Food,"Almond Flour Pancake Mix",5.99,66
"Home Appliances","Compact Dishwasher",299.99,68
Food,"Pasta Sauce Mix",1.29,30
Food,"Pistachio Ice Cream",4.99,43
Food,"Sweet Cherry Tomatoes",2.99,26
Food,"Brownie Bites",4.99,1
Clothing,"Two-Tone Windbreaker",59.99,38
Electronics,"Portable USB-C Monitor",199.99,15
Safety,"Personal Safety Alarm",12.99,92
Food,"Pork Tenderloin",10.99,61
Food,"Taro Chips",3.59,12
Outdoor,"Hiking Gaiters",29.99,75
Food,"Cranberry Orange Oatmeal",2.49,6
Food,"Raspberry Vanilla Greek Yogurt",3.49,34
Pets,"Cat Tree",99.99,99
Food,"Maple Pecan Oatmeal Cookies",3.99,60
Food,"Garlic Naan Bread",3.99,92
Food,"Blueberry Muffin Mix",4.29,75
Kitchen,"Spice Rack",39.99,19
Home,"Bamboo Bathtub Caddy",34.99,33
Food,"Herbed Couscous",2.49,16
Outdoor,"Portable Air Pump",19.99,83
Home,"Animal Paw Print Soap Dispenser",16.99,100
Food,"Fried Rice",4.29,89
Electronics,"Kids Tablet",129.99,59
Clothing,"A-Line Skirt",35.99,63
Food,"Sushi Rice",3.99,7
Food,"Chicken Fajita Kit",8.99,77
Food,"Whole Grain Mustard",3.49,4
Food,"Home Brewing Starter Kit",79.99,92
Food,"Puffed Rice Cake",2.49,84
Kitchen,"Dishwasher Safe Cutting Board",22.99,42
Clothing,"Patterned Knit Scarf",25.99,13
Clothing,"Tailored Dress Pants",79.99,84
Food,"Buffalo Style Cauliflower Bites",5.49,91
Audio,"Home Karaoke System",129.99,73
Accessories,"Compact Umbrella",12.99,53
Outdoor,"Inflatable Paddle Board",349.99,76
Food,"Apple Sauce",2.19,100
Home,"Set of Decorative Storage Bins",34.99,82
Office,"Smart LED Desk Lamp",39.99,97
Food,"Mini Meatballs",5.99,88
Food,"Berry Smoothie Mix",4.99,57
Food,"Artisan Bread Loaf",3.99,34
Clothing,"Terry Cloth Robe",59.99,16
Food,"Strawberry Banana Smoothie Pack",4.99,6
Food,"Pepperoni Pizza Roll-Ups",5.99,18
Office,"Portable Laptop Table",39.99,83
Food,"Cranberry Almond Cookies",4.29,53
Food,"Tortilla Chips",2.99,1
Toys,"Mini Hand Gesture Drone",29.99,83
Food,"Vegetable Pizza Rolls",6.49,25
Home,"LED Under Cabinet Lighting",29.99,18
Outdoor,"Kettle BBQ Grill",99.99,22
Home,"Heated Throw Blanket",49.99,14
Food,"Natural Fruit Snacks",3.99,45
Food,"Raisin Cinnamon Granola",3.79,10
Gaming,"Gaming Headset",69.99,85
Kitchen,"Hand Mixer",29.99,14
Food,"Hummus Trio Pack",5.49,31
Food,"Chicken Fajita Kit",8.99,65
Food,"Chocolate Chip Pancake Mix",3.99,34
Home,"Digital Alarm Clock",19.99,74
Outdoor,"Bicycle Repair Kit",14.99,87
Pets,"Pet Travel Backpack Carrier",49.99,5
Food,"Ethically-Sourced Coffee Beans",9.99,94
Kitchen,"Bamboo Utensil Set",14.99,88
Outdoor,"Reversible Swimming Pool Lounger",34.99,87
Food,"Habanero Hot Sauce",3.79,77
Food,"Peanut Butter Filled Pretzels",3.99,12
Toys,"Kids' Gardening Kit",24.99,99
Food,"Blueberry Chia Jam",4.99,89
Clothing,"Fashionable Fanny Pack",24.99,36
Bathroom,"Thermostatic Shower Valve Kit",39.99,57
Food,"Herbed Goat Cheese",5.49,52
Accessories,"Compact Umbrella",12.99,56
Kitchen,"Electric Skillet",49.99,52
Food,"Maple Syrup",6.99,76
Outdoor,"Camping Tent",79.99,92
Food,"Pumpkin Spice Cookies",3.29,61
Food,"Chocolate Hazelnut Spread",5.99,22
Food,"Energy Bites",3.99,21
"Art Supplies","Art Supplies Organizer",18.99,75
Health,"Bamboo Toothbrush",5.99,40
Kitchen,"Set of Measuring Spoons",12.99,46
Food,"Grilled Vegetable Medley",4.49,18
Food,"Miso Dressing",3.49,21
Office,"LED Desk Lamp with USB Charging Port",29.99,33
Food,"Teriyaki Salmon Fillets",9.99,86
Footwear,"Comfy Slippers",29.99,70
Food,"Teriyaki Tofu Stir-Fry",7.49,58
Food,"Mediterranean Olives",6.49,64
Fitness,"Tennis Racket",89.99,10
Food,Granola,4.79,7
Food,"Sesame Seeds",1.99,87
"Wearable Tech","Fitness Smartwatch",99.99,22
Food,"Tropical Fruit Bowl",4.99,58
Food,"Peach Green Tea",3.49,82
"Wearable Tech","Samsung Galaxy Smartwatch",249.99,58
Pets,"Pet Travel Bed",26.99,95
Food,"Sriracha Honey Glaze",3.59,99
Food,"Cinnamon Roll Protein Bar",2.99,47
Food,"Classic Chicken Noodle Soup",3.49,49
Toys,"Puzzle 3D Model Kit",22.99,24
Fitness,"Insulated Sport Tumbler",22.99,42
Office,"Multi-Purpose Scissors",8.99,83
Clothing,"Essential White Button-Up",44.99,97
Food,"Granola Cereal",4.49,43
Accessories,"Travel Jewelry Case",24.99,64
Kitchen,"Compact Electric Kettle",29.99,73
Food,"Peach Green Tea",3.49,86
Food,"Ricotta Cheese",4.99,33
Fitness,"Non-Slip Yoga Socks",12.99,83
Photography,"Camera Lens Cleaning Kit",14.99,26
Food,Chickpeas,1.29,62
Food,"Teriyaki Beef Strips",7.49,17
Pets,"Dog Frisbee Toy",10.99,92
Kitchen,"Pressure Cooker",89,90
Food,"Potato Wedge Seasoning",2.49,71
Accessories,"Key Finder",19.99,95
Food,"Black Bean Soup",3.49,23
Outdoor,"Window Bird Feeder with Suction Cups",28.99,38
Food,"Honey Mustard Sauce",3.29,48
Food,"Pineapple Coconut Rice Mix",3.99,99
Food,"Sliced Bell Peppers",3.99,49
Food,"Leek and Potato Soup",3.29,31
Health,"Infrared Thermometer Gun",29.99,46
Food,"Sweet Potato Mash",3.99,48
Food,"Peanut Butter Cookies",3.49,17
Food,"Zucchini Noodle Pasta",3.99,42
Clothing,"Classic Black Trousers",54.99,84
Food,"Organic Coconut Flakes",3.49,23
Electronics,"Portable USB-C Monitor",199.99,7
Electronics,"Kids' Educational Tablet",129.99,57
Food,"Cranberry Almond Granola",4.29,2
Kitchen,"Silicone Baking Molds",15.99,46
Fitness,"Adjustable Resistance Bands",39.99,8
Food,"Ricotta Cheese",4.99,12
Food,"Organic Granola",5.49,63
Music,"Karaoke Microphone",39.99,19
Food,"Vegetable Pizza Rolls",6.49,37
Food,"Honey BBQ Ribs",12.99,4
Clothing,"Waterproof Rain Boots",69.99,23
Fitness,"Digital Stopwatch Timer",12.99,80
Photography,"Camera Lens Cleaning Kit",14.99,97
Food,"Honey Mustard Pretzel Bites",3.99,45
Food,"Cucumber Relish",3.39,51
Outdoor,"Portable Camping Stove",49.99,38
Fitness,"Insulated Sport Tumbler",22.99,12
